A_mNGS	148 	/share/inspurStorage/home3/ZXMGroup/VIROME/G3compare/G2/02_trim/A_trim1.paired.fq.gz,/share/inspurStorage/home3/ZXMGroup/VIROME/G3compare/G2/02_trim/A_trim2.paired.fq.gz
B_mNGS	148 	/share/inspurStorage/home3/ZXMGroup/VIROME/G3compare/G2/02_trim/B_trim1.paired.fq.gz,/share/inspurStorage/home3/ZXMGroup/VIROME/G3compare/G2/02_trim/B_trim2.paired.fq.gz
F_mNGS	148 	/share/inspurStorage/home3/ZXMGroup/VIROME/G3compare/G2/02_trim/F_trim1.paired.fq.gz,/share/inspurStorage/home3/ZXMGroup/VIROME/G3compare/G2/02_trim/F_trim2.paired.fq.gz
A_PacBio 	10338 	/share/inspurStorage/home3/ZXMGroup/VIROME/G3compare/RealData/PacBio/data_merge/A.fastq
B_PacBio	10582 	/share/inspurStorage/home3/ZXMGroup/VIROME/G3compare/RealData/PacBio/data_merge/B.fastq
F_PacBio	11009 	/share/inspurStorage/home3/ZXMGroup/VIROME/G3compare/RealData/PacBio/data_merge/F.fastq
A_Nanopore	5519 	/share/inspurStorage/home3/ZXMGroup/VIROME/G3compare/RealData/Nanopore/data/A.fastq
B_Nanopore	7106 	/share/inspurStorage/home3/ZXMGroup/VIROME/G3compare/RealData/Nanopore/data/B.fastq
F_Nanopore	9198 	/share/inspurStorage/home3/ZXMGroup/VIROME/G3compare/RealData/Nanopore/data/F.fastq
A_MetaHiC	140 	/share/inspurStorage/home3/ZXMGroup/VIROME/G3compare/HiC02/02_trim/A_trim1.paired.fq.gz,/share/inspurStorage/home3/ZXMGroup/VIROME/G3compare/HiC02/02_trim/A_trim2.paired.fq.gz
B_MetaHiC	143 	/share/inspurStorage/home3/ZXMGroup/VIROME/G3compare/HiC02/02_trim/B_trim1.paired.fq.gz,/share/inspurStorage/home3/ZXMGroup/VIROME/G3compare/HiC02/02_trim/B_trim2.paired.fq.gz
F_MetaHiC	141 	/share/inspurStorage/home3/ZXMGroup/VIROME/G3compare/HiC02/02_trim/F_trim1.paired.fq.gz,/share/inspurStorage/home3/ZXMGroup/VIROME/G3compare/HiC02/02_trim/F_trim2.paired.fq.gz
A_HiC	140 	/share/inspurStorage/home3/ZXMGroup/VIROME/G3compare/Bin3C/01spades/02inter_reads/A.interleaved.fq.gz
B_HiC	143 	/share/inspurStorage/home3/ZXMGroup/VIROME/G3compare/Bin3C/01spades/02inter_reads/B.interleaved.fq.gz
F_HiC	141 	/share/inspurStorage/home3/ZXMGroup/VIROME/G3compare/Bin3C/01spades/02inter_reads/F.interleaved.fq.gz